Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;DamageDone;HealthRemaining;TotalHealth;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2024-05-13 13:32:48.0146;1;33ec2c42e291c42d5e3bf235d353e224;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-13 13:32:48.8111;30;33ec2c42e291c42d5e3bf235d353e224;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-13 13:32:48.8111;30;33ec2c42e291c42d5e3bf235d353e224;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameStarted;2024-05-13 13:32:52.6130;896;33ec2c42e291c42d5e3bf235d353e224;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-13 13:32:52.6210;896;33ec2c42e291c42d5e3bf235d353e224;anonymous;NULL;0.0000;0.0000;1.6000;0.0000;1.6000;NULL;NULL
MotorImagery;2024-05-13 13:33:06.8422;4046;33ec2c42e291c42d5e3bf235d353e224;anonymous;ReceivingData;0.7324;NULL;NULL;NULL;NULL;1;(0.713 0.739 0.786 0.791 0.752 0.750 0.723 0.732 )
MotorImagery;2024-05-13 13:33:07.9821;4290;33ec2c42e291c42d5e3bf235d353e224;anonymous;ReceivingData;0.7722;NULL;NULL;NULL;NULL;2;(0.755 0.784 0.788 0.789 0.795 0.796 0.766 0.772 )
Resting;2024-05-13 13:33:08.6821;4438;33ec2c42e291c42d5e3bf235d353e224;anonymous;NULL;0.7017;0.0000;1.2044;0.3956;1.6000;NULL;NULL
Resting;2024-05-13 13:33:22.7442;7588;33ec2c42e291c42d5e3bf235d353e224;anonymous;NULL;0.2680;0.2680;1.1744;0.4256;1.6000;NULL;NULL
Resting;2024-05-13 13:33:36.8005;10631;33ec2c42e291c42d5e3bf235d353e224;anonymous;NULL;0.4301;0.0000;1.0470;0.5530;1.6000;NULL;NULL
MotorImagery;2024-05-13 13:33:49.1259;13377;33ec2c42e291c42d5e3bf235d353e224;anonymous;ReceivingData;0.7324;NULL;NULL;NULL;NULL;3;(0.713 0.739 0.786 0.791 0.752 0.750 0.723 0.732 )
MotorImagery;2024-05-13 13:33:50.2677;13625;33ec2c42e291c42d5e3bf235d353e224;anonymous;ReceivingData;0.7722;NULL;NULL;NULL;NULL;4;(0.755 0.784 0.788 0.789 0.795 0.796 0.766 0.772 )
Resting;2024-05-13 13:33:50.8597;13755;33ec2c42e291c42d5e3bf235d353e224;anonymous;NULL;0.7019;0.0000;0.6514;0.9486;1.6000;NULL;NULL
Resting;2024-05-13 13:34:04.9154;16855;33ec2c42e291c42d5e3bf235d353e224;anonymous;NULL;0.3659;0.3659;0.5137;1.0863;1.6000;NULL;NULL
Resting;2024-05-13 13:34:18.9799;20004;33ec2c42e291c42d5e3bf235d353e224;anonymous;NULL;0.6513;0.0000;0.2119;1.3881;1.6000;NULL;NULL
MotorImagery;2024-05-13 13:34:31.4644;22812;33ec2c42e291c42d5e3bf235d353e224;anonymous;ReceivingData;0.9186;NULL;NULL;NULL;NULL;5;(0.868 0.885 0.907 0.926 0.919 0.708 0.721 0.805 )
MotorImagery;2024-05-13 13:34:32.6036;23056;33ec2c42e291c42d5e3bf235d353e224;anonymous;ReceivingData;0.9153;NULL;NULL;NULL;NULL;6;(0.929 0.923 0.917 0.919 0.915 0.932 0.941 0.936 )
Resting;2024-05-13 13:34:33.0426;23151;33ec2c42e291c42d5e3bf235d353e224;anonymous;NULL;0.8847;0.8847;1.6000;0.0000;1.6000;NULL;NULL
MotorImagery;2024-05-13 13:34:43.6202;25531;33ec2c42e291c42d5e3bf235d353e224;anonymous;ReceivingData;0.9186;NULL;NULL;NULL;NULL;7;(0.805 0.868 0.885 0.907 0.926 0.919 0.708 0.721 )
MotorImagery;2024-05-13 13:34:44.7525;25778;33ec2c42e291c42d5e3bf235d353e224;anonymous;ReceivingData;0.9153;NULL;NULL;NULL;NULL;8;(0.936 0.929 0.923 0.917 0.919 0.915 0.932 0.941 )
MotorImagery;2024-05-13 13:34:45.8899;26027;33ec2c42e291c42d5e3bf235d353e224;anonymous;ReceivingData;0.7721;NULL;NULL;NULL;NULL;9;(0.885 0.865 0.831 0.788 0.781 0.772 0.900 0.900 )
MotorImagery;2024-05-13 13:34:47.0377;26279;33ec2c42e291c42d5e3bf235d353e224;anonymous;ReceivingData;0.8284;NULL;NULL;NULL;NULL;10;(0.733 0.786 0.818 0.823 0.841 0.828 0.767 0.763 )
Resting;2024-05-13 13:34:47.0958;26292;33ec2c42e291c42d5e3bf235d353e224;anonymous;NULL;0.8284;0.0000;1.0593;0.5407;1.6000;NULL;NULL
Resting;2024-05-13 13:35:01.1608;29408;33ec2c42e291c42d5e3bf235d353e224;anonymous;NULL;0.4774;0.4774;1.0293;0.5707;1.6000;NULL;NULL
MotorImagery;2024-05-13 13:35:14.5793;32409;33ec2c42e291c42d5e3bf235d353e224;anonymous;ReceivingData;0.7235;NULL;NULL;NULL;NULL;11;(0.731 0.752 0.758 0.740 0.738 0.740 0.724 0.726 )
Resting;2024-05-13 13:35:15.2204;32548;33ec2c42e291c42d5e3bf235d353e224;anonymous;NULL;0.7797;0.0000;0.6496;0.9504;1.6000;NULL;NULL
MotorImagery;2024-05-13 13:35:15.7146;32658;33ec2c42e291c42d5e3bf235d353e224;anonymous;ReceivingData;0.8078;NULL;NULL;NULL;NULL;12;(0.747 0.770 0.780 0.809 0.830 0.818 0.808 0.736 )
MotorImagery;2024-05-13 13:35:16.8459;32910;33ec2c42e291c42d5e3bf235d353e224;anonymous;ReceivingData;0.8605;NULL;NULL;NULL;NULL;13;(0.796 0.827 0.815 0.835 0.844 0.858 0.861 0.817 )
MotorImagery;2024-05-13 13:35:26.0640;34969;33ec2c42e291c42d5e3bf235d353e224;anonymous;ReceivingData;0.7324;NULL;NULL;NULL;NULL;14;(0.713 0.739 0.786 0.791 0.752 0.750 0.723 0.732 )
MotorImagery;2024-05-13 13:35:27.2016;35220;33ec2c42e291c42d5e3bf235d353e224;anonymous;ReceivingData;0.7722;NULL;NULL;NULL;NULL;15;(0.755 0.784 0.788 0.789 0.795 0.796 0.766 0.772 )
MotorImagery;2024-05-13 13:35:29.1968;35654;33ec2c42e291c42d5e3bf235d353e224;anonymous;ReceivingData;0.8289;NULL;NULL;NULL;NULL;16;(0.825 0.820 0.804 0.819 0.827 0.829 0.724 0.754 )
Resting;2024-05-13 13:35:29.2781;35671;33ec2c42e291c42d5e3bf235d353e224;anonymous;NULL;0.8289;0.0000;0.2207;1.3793;1.6000;NULL;NULL
MotorImagery;2024-05-13 13:35:40.1893;38062;33ec2c42e291c42d5e3bf235d353e224;anonymous;ReceivingData;0.7324;NULL;NULL;NULL;NULL;17;(0.713 0.739 0.786 0.791 0.752 0.750 0.723 0.732 )
MotorImagery;2024-05-13 13:35:41.3208;38302;33ec2c42e291c42d5e3bf235d353e224;anonymous;ReceivingData;0.7722;NULL;NULL;NULL;NULL;18;(0.755 0.784 0.788 0.789 0.795 0.796 0.766 0.772 )
MotorImagery;2024-05-13 13:35:43.3113;38717;33ec2c42e291c42d5e3bf235d353e224;anonymous;ReceivingData;0.8289;NULL;NULL;NULL;NULL;19;(0.825 0.820 0.804 0.819 0.827 0.829 0.724 0.754 )
GameStopped;2024-05-13 13:35:49.1731;40040;33ec2c42e291c42d5e3bf235d353e224;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
